"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IOC","EQ","02-Jul-2007","        443.60","        445.00","        456.90","        438.20","        452.25","        454.15","        451.02","     197689","            89160871.35","-","      98242","         49.70"
"IOC","EQ","03-Jul-2007","        454.15","        458.10","        464.95","        451.05","        453.90","        453.55","        459.50","     239033","           109836701.90","-","      55947","         23.41"
"IOC","EQ","04-Jul-2007","        453.55","        454.00","        460.90","        448.30","        448.30","        453.05","        453.47","     224088","           101616795.65","-","     144330","         64.41"
"IOC","EQ","05-Jul-2007","        453.05","        451.00","        451.05","        440.00","        442.00","        441.40","        443.13","      73406","            32528271.55","-","      49797","         67.84"
"IOC","EQ","06-Jul-2007","        441.40","        440.00","        443.00","        433.30","        433.30","        435.95","        439.26","     335044","           147170803.70","-","     256244","         76.48"
"IOC","EQ","09-Jul-2007","        435.95","        440.00","        440.00","        430.00","        437.50","        434.50","        433.22","     327474","           141868990.55","-","     252717","         77.17"
"IOC","EQ","10-Jul-2007","        434.50","        434.50","        439.50","        430.25","        432.00","        431.35","        434.86","     176863","            76910710.00","-","     149466","         84.51"
"IOC","EQ","11-Jul-2007","        431.35","        431.95","        434.95","        426.00","        427.00","        426.60","        428.01","     191940","            82151714.60","-","     117480","         61.21"
"IOC","EQ","12-Jul-2007","        426.60","        444.95","        444.95","        428.00","        431.95","        431.25","        430.46","      47935","            20634023.95","-","      31302","         65.30"
"IOC","EQ","13-Jul-2007","        431.25","        439.00","        441.00","        430.00","        434.00","        433.55","        435.70","     216898","            94502920.40","-","     128658","         59.32"
"IOC","EQ","16-Jul-2007","        433.55","        434.00","        437.70","        429.00","        437.00","        433.00","        431.58","     222886","            96192399.15","-","     180930","         81.18"
"IOC","EQ","17-Jul-2007","        433.00","        433.00","        436.00","        431.00","        432.00","        432.20","        432.75","      34889","            15098270.85","-","      24014","         68.83"
"IOC","EQ","18-Jul-2007","        432.20","        434.90","        436.00","        428.00","        428.10","        428.70","        431.79","      52087","            22490680.55","-","      31432","         60.35"
"IOC","EQ","19-Jul-2007","        428.70","        431.00","        434.50","        427.20","        431.25","        431.70","        430.73","      37594","            16192939.85","-","      23703","         63.05"
"IOC","EQ","20-Jul-2007","        431.70","        432.00","        444.00","        429.00","        430.00","        430.30","        435.06","     108432","            47174626.35","-","      50712","         46.77"
"IOC","EQ","23-Jul-2007","        430.30","        426.10","        431.00","        424.00","        425.00","        425.35","        426.75","     181859","            77609005.20","-","     158424","         87.11"
"IOC","EQ","24-Jul-2007","        425.35","        435.95","        435.95","        416.10","        419.50","        419.30","        426.02","     248499","           105865057.85","-","     192363","         77.41"
"IOC","EQ","25-Jul-2007","        419.30","        420.00","        425.90","        417.00","        419.00","        419.50","        423.36","     298526","           126385112.65","-","     227188","         76.10"
"IOC","EQ","26-Jul-2007","        419.50","        422.00","        424.95","        403.00","        410.00","        408.70","        412.64","     449319","           185405757.75","-","     330304","         73.51"
"IOC","EQ","27-Jul-2007","        408.70","        402.50","        416.80","        400.10","        401.00","        401.70","        405.48","     169591","            68765607.45","-","     115492","         68.10"
"IOC","EQ","30-Jul-2007","        401.70","        404.00","        407.95","        393.00","        395.80","        395.15","        399.86","     573384","           229271667.75","-","     384019","         66.97"
"IOC","EQ","31-Jul-2007","        395.15","        400.00","        403.90","        398.00","        402.90","        402.95","        402.16","     197373","            79376147.20","-","     145020","         73.48"
"IOC","EQ","01-Aug-2007","        402.95","        398.90","        403.00","        395.15","        397.80","        398.40","        399.83","     177375","            70919720.65","-","     148131","         83.51"
"IOC","EQ","02-Aug-2007","        398.40","        399.90","        402.00","        396.10","        399.80","        398.00","        400.34","     146426","            58619751.55","-","     120549","         82.33"
